Jogador,Luis Rioja,Joselu,Fernando Pacheco,Víctor Laguardia,Rubén Duarte,Florian Lejeune,Mamadou Loum,Martin Agirregabiria,Édgar Méndez,Toni Moya,Pere Pons,Tomás Pina Isla,Ximo Navarro,Gonzalo Escalante,Nahuel Tenaglia,Manu García,Miguel,Jason,Matt Miazga,Facundo Pellistri,Javi López,Mamadou Sylla,Antonio Sivera,Manu Vallejo,John Guidetti,Tachi,Iván Martín,Jesús Owono,Marc Tenas,Mircea Ţîrlea,Unai Ropero,Tomás Mendes,Saúl García,Abdel Abqar,Alex Balboa
Antonio Sivera,0.5849313596266487,0.5528009649697341,0.999414918977298,0.825437938780739,0.7250072597372321,0.8253495459032141,0.6746524642725727,0.7108099856891542,0.6101035954392557,0.651935496559727,0.6229855653227129,0.6637167213360871,0.7582203451227406,0.6521654802460033,0.7647246209021108,0.5940665126175815,0.5021677542342182,0.5964461636219823,0.8721650042625277,0.599136520417857,0.7111108426874019,0.5417779558949691,0.9999999999999999,0.5573077268094917,0.5087761987606144,0.7921550828685572,0.5812338453899026,0.9972772684438999,0.6470841756560104,0.7089058632518388,0.41758079798849657,0.6194484230927544,0.8860602654989258,0.7571434020327282,0.7294720436741711
Manu Vallejo,0.9874476919763191,0.9950374017275796,0.5702552627277958,0.8473805256609648,0.954747254386936,0.8522822401433946,0.9255919468896935,0.9549795093755729,0.9937399680878706,0.974320955351356,0.9726462371520304,0.9447266166727605,0.9269547225635831,0.9540561868048121,0.9245653960261203,0.9767304979857858,0.981741817926443,0.9799737432852251,0.819320889233814,0.9923567631872657,0.9393903524167859,0.9871881709363223,0.5573077268094917,1.0000000000000002,0.9845184395363139,0.8814673012755775,0.9849577505348008,0.5410354119053945,0.9888249845200865,0.9388878048258509,0.7163559708521563,0.8824101127160805,0.5949943089111264,0.946429774122796,0.952695184254371
John Guidetti,0.9890185250219047,0.9810070288612223,0.52150028239577,0.7781808151901701,0.9104813952257863,0.7844892884718175,0.8578466151116473,0.9097115421301779,0.9773189062083051,0.9307272889515118,0.9271906695459994,0.888245786453139,0.8701271454780237,0.8967298969993192,0.8712604141764656,0.9376024089880678,0.9914048085213475,0.9791659155015795,0.7540814388703313,0.9738629163497011,0.8822287398365732,0.9894245386683658,0.5087761987606144,0.9845184395363139,1.0000000000000002,0.8143234642340066,0.9522115613264198,0.49092410079016324,0.9786607370603678,0.8833806607875058,0.6067174868046057,0.8053965439070072,0.5557610747621441,0.900078661770386,0.9113655074576413
Tachi,0.860804853992,0.8826013720535093,0.8056523623155643,0.994623983738608,0.9800382613862688,0.993965532216414,0.9759271124070501,0.9793659797303015,0.9042268209250464,0.9589970112473818,0.9516939841362563,0.9714881987262821,0.9932608622967839,0.9651320139891801,0.9921278607218108,0.9351929149886847,0.8109021948590359,0.8650752086706963,0.982896439900288,0.8975345272278137,0.9857199585410358,0.8324884033224762,0.7921550828685572,0.8814673012755775,0.8143234642340066,1.0000000000000002,0.921182037521175,0.7846853675973896,0.9030165425382194,0.9773352600299353,0.7855233365233862,0.9360087823189538,0.7889314578935983,0.9844890631886417,0.9762086525828446
Iván Martín,0.9561451942988132,0.9812946636506656,0.5955240111147759,0.894472977151518,0.973919731190201,0.8980151259488481,0.9615392756535287,0.9779071367082983,0.97569478242693,0.9919170725965559,0.9902498842225529,0.980354576670009,0.9564732536007572,0.9750672881922643,0.9474143777058178,0.9969414015292204,0.9388760428196332,0.9473044617861563,0.8603079118183916,0.971541027181641,0.9721582116523617,0.9501141904656155,0.5812338453899026,0.9849577505348008,0.9522115613264198,0.921182037521175,1.0,0.5611170947832561,0.9739933925596891,0.9757344376518309,0.756013162382831,0.9367023412145903,0.5885024111316448,0.9653387083025313,0.9767009470244877
Jesús Owono,0.5739640321772883,0.5396656939382452,0.9965980874023704,0.8148542636884253,0.713334824337905,0.8137746439701056,0.6612808930203213,0.6977568009956061,0.6002768437797885,0.6373072053907918,0.6076883854137977,0.6464649391226565,0.7464894273431946,0.6403579990601387,0.7570444717023856,0.5752603931042135,0.4895603269418265,0.5893964778299559,0.8629675959157936,0.5864557144850994,0.6974254220120153,0.5310891824382389,0.9972772684438999,0.5410354119053945,0.49092410079016324,0.7846853675973896,0.5611170947832561,1.0,0.6327069358166545,0.6904357108263673,0.4111523215868197,0.6001236789207465,0.9010282687919875,0.7450733953266553,0.7125518814767146
Marc Tenas,0.9927462192259451,0.9825494961099213,0.6595735942401687,0.8755105637520595,0.9685454788087717,0.880158211941642,0.9178434706905948,0.965502214322912,0.9937284411119233,0.9716242312100238,0.961392340075099,0.9399329282816948,0.9418317942161185,0.9438335359642791,0.9448771917317045,0.9654399620824523,0.9694183500555261,0.9900538152722591,0.8589695307287445,0.9865021025961299,0.9449736085443524,0.9817608974479664,0.6470841756560104,0.9888249845200865,0.9786607370603678,0.9030165425382194,0.9739933925596891,0.6327069358166545,1.0,0.9425018192909003,0.6587378306871883,0.8618014600703335,0.6840449370516843,0.9623632543652454,0.9656589821677853
Mircea Ţîrlea,0.9046401001987576,0.9368662467125918,0.722005402804244,0.9661607127376697,0.9887159815273936,0.9678790444067066,0.989749016843832,0.9919748471230679,0.9404759008217253,0.9896385773174626,0.9860601866923893,0.9970086581790161,0.9912990051836039,0.9858308125969867,0.9803405654804092,0.9826644537529284,0.8710221995940279,0.899156927900471,0.9417844884140155,0.9373938566263755,0.9970356411267635,0.8881308524851037,0.7089058632518388,0.9388878048258509,0.8833806607875058,0.9773352600299353,0.9757344376518309,0.6904357108263673,0.9425018192909003,1.0000000000000004,0.794871794871795,0.9694246735578531,0.676255598897686,0.9894409646155768,0.9938028085950769
Unai Ropero,0.6302469701067082,0.7211078204463648,0.4286679314412184,0.7706949415706821,0.7546815904231864,0.7696917288483354,0.8651460505658419,0.7633136342988811,0.7077477344867733,0.786164609192434,0.8147315437833358,0.8208878145299113,0.7884354261852836,0.8495857212277174,0.7687668378120753,0.7827957055356325,0.6528550134953348,0.6244500618294087,0.7288023495877026,0.7437482598131062,0.8043236705641494,0.639438473765305,0.41758079798849657,0.7163559708521563,0.6067174868046057,0.7855233365233862,0.756013162382831,0.4111523215868197,0.6587378306871883,0.794871794871795,1.0000000000000002,0.8751750525175064,0.428845013935118,0.7635896756341751,0.7492859971622661
Tomás Mendes,0.815715605174915,0.8913569700715659,0.6299790325504024,0.9211435293714402,0.9310327086426727,0.9208517122961328,0.9816970725022982,0.9389483518257395,0.8731019910354376,0.9521679697171084,0.9604550760197823,0.9754801173467209,0.9444919623403066,0.9694559007645012,0.9222812771772064,0.954239420456881,0.8016308428701627,0.8086952613211873,0.8808009981761331,0.8747235916645868,0.9627210000908839,0.8144494362111797,0.6194484230927544,0.8824101127160805,0.8053965439070072,0.9360087823189538,0.9367023412145903,0.6001236789207465,0.8618014600703335,0.9694246735578531,0.8751750525175064,1.0,0.540452818933254,0.9351922096535188,0.9390843026195217
Saúl García,0.6546483237099767,0.5818550466371056,0.8951738761633512,0.8034746504749367,0.7436949781263142,0.8033407078604758,0.6618232911386817,0.7250746240347835,0.6666266115382108,0.6585245149669449,0.6282532955193971,0.6490227925422895,0.7609767126284395,0.6561158569484249,0.7943872274767293,0.5923071607846571,0.5686677244410866,0.6768093739724854,0.8500008116409489,0.6571744702154649,0.7071263011069485,0.5988964826044916,0.8860602654989258,0.5949943089111264,0.5557610747621441,0.7889314578935983,0.5885024111316448,0.9010282687919875,0.6840449370516843,0.676255598897686,0.428845013935118,0.540452818933254,1.0,0.7568598175135888,0.7206456467138377
Abdel Abqar,0.9321015844752606,0.9445095043554401,0.7699345984282717,0.9719167504445254,0.9976901914062997,0.9737118126149592,0.9790610198486991,0.9964419578750113,0.9604563411786768,0.9875326668513565,0.9802654445240553,0.9841776232749121,0.9969207358764773,0.9820638807025469,0.995220615177687,0.9709410554751889,0.8952466281874687,0.931746434677261,0.9583249557170438,0.9561338639553784,0.9936524836003124,0.9117330029944165,0.7571434020327282,0.946429774122796,0.900078661770386,0.9844890631886417,0.9653387083025313,0.7450733953266553,0.9623632543652454,0.9894409646155768,0.7635896756341751,0.9351922096535188,0.7568598175135888,1.0,0.9964996115439582
Alex Balboa,0.934377513419433,0.9486041590580988,0.7432752164000531,0.9648109056147273,0.9967342554504901,0.9672949643412093,0.9770229323261314,0.9975863279577936,0.9597721190205595,0.9905453157468638,0.98358918210036,0.9888766314612977,0.9931822123163654,0.9792463657492453,0.9882876457967132,0.9802896928241878,0.898283313715266,0.9304545718538038,0.9474016250430867,0.9555466043965427,0.9938125590426949,0.9130254456041169,0.7294720436741711,0.952695184254371,0.9113655074576413,0.9762086525828446,0.9767009470244877,0.7125518814767146,0.9656589821677853,0.9938028085950769,0.7492859971622661,0.9390843026195217,0.7206456467138377,0.9964996115439582,1.0000000000000002
